datetime,timestamp_desc,source,source_long,message,parser,display_name,tag,hostname,username
2024-11-12T07:05:33Z,Logged,EVTX,Security Event Log,"Event ID: 4624 An account was successfully logged on. Account Name: svc-backup Logon Type: 5 Authentication Package: Kerberos Source Network Address: 10.0.1.30 Logon Process: Service",winevt/EVTX,FILESERVER-01-Security,,FILESERVER-01,svc-backup
2024-11-12T07:12:10Z,Logged,EVTX,Security Event Log,"Event ID: 4624 An account was successfully logged on. Account Name: jsmith Logon Type: 3 Authentication Package: Kerberos Source Network Address: 10.0.0.105 Workstation Name: WS-HR01",winevt/EVTX,FILESERVER-01-Security,,FILESERVER-01,jsmith
2024-11-12T07:18:44Z,Logged,EVTX,Security Event Log,"Event ID: 5140 A network share object was accessed. Share Name: \\FILESERVER-01\Finance Account Name: jsmith Source Address: 10.0.0.105 Access Mask: 0x1",winevt/EVTX,FILESERVER-01-Security,,FILESERVER-01,jsmith
2024-11-12T07:30:05Z,Logged,EVTX,Windows Event Log,"Event ID: 4702 A scheduled task was updated. Task Name: DailyBackup Updated By: SYSTEM",winevt/EVTX,FILESERVER-01-System,,FILESERVER-01,SYSTEM
2024-11-12T07:45:20Z,Logged,EVTX,Security Event Log,"Event ID: 4624 An account was successfully logged on. Account Name: mwilson Logon Type: 3 Authentication Package: Kerberos Source Network Address: 10.0.0.111 Workstation Name: WS-FIN01",winevt/EVTX,FILESERVER-01-Security,,FILESERVER-01,mwilson
2024-11-12T07:55:30Z,Logged,EVTX,Security Event Log,"Event ID: 5140 A network share object was accessed. Share Name: \\FILESERVER-01\Finance Account Name: mwilson Source Address: 10.0.0.111 Access Mask: 0x1",winevt/EVTX,FILESERVER-01-Security,,FILESERVER-01,mwilson
2024-11-12T08:05:14Z,Logged,EVTX,Security Event Log,"Event ID: 4624 An account was successfully logged on. Account Name: svc-sql Logon Type: 5 Authentication Package: Kerberos Source Network Address: 10.0.1.20 Logon Process: Service",winevt/EVTX,SQLSERVER-01-Security,,SQLSERVER-01,svc-sql
2024-11-12T08:20:00Z,Logged,EVTX,Security Event Log,"Event ID: 5140 A network share object was accessed. Share Name: \\FILESERVER-01\HR Account Name: jsmith Source Address: 10.0.0.105 Access Mask: 0x1",winevt/EVTX,FILESERVER-01-Security,,FILESERVER-01,jsmith
2024-11-12T08:35:18Z,Logged,EVTX,Security Event Log,"Event ID: 4624 An account was successfully logged on. Account Name: itadmin Logon Type: 3 Authentication Package: Kerberos Source Network Address: 10.0.0.88 Workstation Name: WS-IT01",winevt/EVTX,FILESERVER-01-Security,,FILESERVER-01,itadmin
2024-11-12T08:45:44Z,Logged,EVTX,Security Event Log,"Event ID: 5140 A network share object was accessed. Share Name: \\FILESERVER-01\ADMIN$ Account Name: itadmin Source Address: 10.0.0.88 Access Mask: 0x1",winevt/EVTX,FILESERVER-01-Security,,FILESERVER-01,itadmin
2024-11-12T09:00:02Z,Logged,EVTX,Windows Event Log,"Event ID: 4702 A scheduled task was updated. Task Name: WeeklyReport Updated By: SYSTEM",winevt/EVTX,FILESERVER-01-System,,FILESERVER-01,SYSTEM
2024-11-12T09:15:30Z,Logged,EVTX,Security Event Log,"Event ID: 4624 An account was successfully logged on. Account Name: jsmith Logon Type: 3 Authentication Package: Kerberos Source Network Address: 10.0.0.105 Workstation Name: WS-HR01",winevt/EVTX,FILESERVER-01-Security,,FILESERVER-01,jsmith
2024-11-12T09:30:55Z,Logged,EVTX,Security Event Log,"Event ID: 5140 A network share object was accessed. Share Name: \\FILESERVER-01\Finance Account Name: jsmith Source Address: 10.0.0.105 Access Mask: 0x3",winevt/EVTX,FILESERVER-01-Security,,FILESERVER-01,jsmith
2024-11-12T09:50:10Z,Logged,EVTX,Security Event Log,"Event ID: 4624 An account was successfully logged on. Account Name: svc-backup Logon Type: 5 Authentication Package: Kerberos Source Network Address: 10.0.1.30 Logon Process: Service",winevt/EVTX,FILESERVER-01-Security,,FILESERVER-01,svc-backup
2024-11-12T10:05:22Z,Logged,EVTX,Security Event Log,"Event ID: 5140 A network share object was accessed. Share Name: \\FILESERVER-01\Backup Account Name: svc-backup Source Address: 10.0.1.30 Access Mask: 0x3",winevt/EVTX,FILESERVER-01-Security,,FILESERVER-01,svc-backup
2024-11-12T10:30:40Z,Logged,EVTX,Security Event Log,"Event ID: 4624 An account was successfully logged on. Account Name: mwilson Logon Type: 3 Authentication Package: Kerberos Source Network Address: 10.0.0.111 Workstation Name: WS-FIN01",winevt/EVTX,FILESERVER-01-Security,,FILESERVER-01,mwilson
2024-11-12T10:42:15Z,Logged,EVTX,Security Event Log,"Event ID: 5140 A network share object was accessed. Share Name: \\FILESERVER-01\Finance Account Name: mwilson Source Address: 10.0.0.111 Access Mask: 0x1",winevt/EVTX,FILESERVER-01-Security,,FILESERVER-01,mwilson
