timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_out,bytes_in,action
2024-11-12T07:05:10Z,10.0.0.105,172.217.14.46,54201,443,TCP,1240,18500,ALLOW
2024-11-12T07:08:33Z,10.0.0.111,52.96.115.4,49822,443,TCP,880,12400,ALLOW
2024-11-12T07:12:20Z,10.0.0.88,8.8.8.8,51244,53,UDP,62,128,ALLOW
2024-11-12T07:18:45Z,10.0.0.105,13.32.46.12,54308,443,TCP,950,14200,ALLOW
2024-11-12T07:25:00Z,10.0.0.111,104.18.28.100,49900,443,TCP,1100,22000,ALLOW
2024-11-12T07:30:14Z,10.0.0.88,172.217.3.110,52011,443,TCP,720,9800,ALLOW
2024-11-12T07:45:22Z,10.0.0.144,52.114.128.9,55100,443,TCP,1350,16500,ALLOW
2024-11-12T08:02:05Z,10.0.0.105,172.217.14.46,54402,443,TCP,680,11200,ALLOW
2024-11-12T08:15:30Z,10.0.0.111,172.217.14.46,49955,443,TCP,1420,19000,ALLOW
2024-11-12T08:30:00Z,10.0.0.88,8.8.8.8,51300,53,UDP,62,128,ALLOW
2024-11-12T09:00:22Z,10.0.0.105,13.32.46.12,54500,443,TCP,590,8900,ALLOW
2024-11-12T09:15:44Z,10.0.0.111,104.26.13.45,50100,443,TCP,1650,21000,ALLOW
2024-11-12T09:30:08Z,10.0.0.88,172.217.3.110,52200,443,TCP,800,10400,ALLOW
2024-11-12T09:45:15Z,10.0.0.144,52.96.115.4,55300,443,TCP,1200,15800,ALLOW
2024-11-12T10:00:30Z,10.0.0.105,172.217.14.46,54600,443,TCP,740,12000,ALLOW
2024-11-12T10:30:18Z,10.0.0.88,8.8.8.8,51400,53,UDP,62,128,ALLOW
2024-11-12T11:00:22Z,10.0.0.111,52.114.128.9,50200,443,TCP,960,13500,ALLOW
2024-11-12T11:22:40Z,10.0.0.105,172.217.14.46,54700,443,TCP,820,11800,ALLOW
2024-11-12T12:00:05Z,10.0.0.88,13.32.46.12,52300,443,TCP,1080,14600,ALLOW
2024-11-12T12:15:20Z,10.0.0.105,8.8.8.8,54800,53,UDP,62,128,ALLOW
2024-11-12T13:00:10Z,10.0.0.144,104.26.13.45,55400,443,TCP,1500,19800,ALLOW
2024-11-12T13:30:44Z,10.0.0.111,172.217.14.46,50300,443,TCP,1380,18000,ALLOW
2024-11-12T14:05:22Z,10.0.0.111,52.114.128.9,50400,443,TCP,1100,15200,ALLOW
2024-11-12T14:28:03Z,10.0.0.111,185.220.101.45,50488,80,TCP,8500,142000,ALLOW
2024-11-12T14:30:55Z,10.0.0.111,185.220.101.45,50502,443,TCP,2100,4800,ALLOW
2024-11-12T14:33:20Z,10.0.0.111,185.220.101.45,50518,443,TCP,1950,3200,ALLOW
2024-11-12T14:35:08Z,10.0.0.111,185.220.101.45,50522,443,TCP,2050,4100,ALLOW
2024-11-12T15:05:08Z,10.0.0.111,10.0.1.5,50600,389,TCP,520,3400,ALLOW
2024-11-12T15:05:22Z,10.0.0.111,10.0.1.5,50601,389,TCP,480,3200,ALLOW
2024-11-12T15:05:36Z,10.0.0.111,10.0.1.5,50602,389,TCP,610,4100,ALLOW
2024-11-12T15:05:50Z,10.0.0.111,10.0.1.5,50603,389,TCP,440,2900,ALLOW
2024-11-12T15:06:04Z,10.0.0.111,10.0.1.5,50604,389,TCP,790,5200,ALLOW
2024-11-12T15:06:18Z,10.0.0.111,10.0.1.5,50605,389,TCP,550,3600,ALLOW
2024-11-12T15:06:32Z,10.0.0.111,10.0.1.5,50606,389,TCP,680,4400,ALLOW
2024-11-12T15:06:46Z,10.0.0.111,10.0.1.5,50607,389,TCP,720,4800,ALLOW
2024-11-12T15:07:00Z,10.0.0.111,10.0.1.5,50608,389,TCP,500,3300,ALLOW
2024-11-12T15:07:14Z,10.0.0.111,10.0.1.5,50609,389,TCP,640,4200,ALLOW
2024-11-12T15:07:28Z,10.0.0.111,10.0.1.5,50610,389,TCP,770,5100,ALLOW
