timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_out,bytes_in,action
2024-11-20T23:15:03,45.129.56.200,10.0.2.10,51200,3389,TCP,4821,1203,ALLOW
2024-11-20T23:15:47,45.129.56.200,10.0.2.10,51201,3389,TCP,5102,987,ALLOW
2024-11-20T23:16:31,45.129.56.200,10.0.2.10,51203,3389,TCP,4756,1102,ALLOW
2024-11-20T23:17:22,45.129.56.200,10.0.2.10,51205,3389,TCP,5234,1001,ALLOW
2024-11-20T23:18:08,45.129.56.200,10.0.2.10,51208,3389,TCP,4987,1187,ALLOW
2024-11-20T23:19:03,45.129.56.200,10.0.2.10,51210,3389,TCP,5341,1023,ALLOW
2024-11-20T23:19:47,45.129.56.200,10.0.2.10,51212,3389,TCP,4892,1098,ALLOW
2024-11-20T23:20:41,45.129.56.200,10.0.2.10,51214,3389,TCP,5128,1145,ALLOW
2024-11-20T23:21:29,45.129.56.200,10.0.2.10,51217,3389,TCP,4703,1032,ALLOW
2024-11-20T23:22:18,45.129.56.200,10.0.2.10,51220,3389,TCP,5219,1178,ALLOW
2024-11-20T23:23:07,45.129.56.200,10.0.2.10,51222,3389,TCP,4831,1056,ALLOW
2024-11-20T23:24:02,45.129.56.200,10.0.2.10,51225,3389,TCP,5067,1134,ALLOW
2024-11-20T23:24:51,45.129.56.200,10.0.2.10,51227,3389,TCP,4912,1089,ALLOW
2024-11-20T23:25:43,45.129.56.200,10.0.2.10,51230,3389,TCP,5288,1211,ALLOW
2024-11-20T23:26:32,45.129.56.200,10.0.2.10,51233,3389,TCP,4765,1023,ALLOW
2024-11-20T23:27:24,45.129.56.200,10.0.2.10,51235,3389,TCP,5102,1067,ALLOW
2024-11-20T23:28:16,45.129.56.200,10.0.2.10,51238,3389,TCP,4877,1098,ALLOW
2024-11-20T23:29:01,45.129.56.200,10.0.2.10,51240,3389,TCP,5341,1034,ALLOW
2024-11-20T23:29:55,45.129.56.200,10.0.2.10,51242,3389,TCP,4923,1156,ALLOW
2024-11-20T23:30:44,45.129.56.200,10.0.2.10,51245,3389,TCP,5078,1089,ALLOW
2024-11-20T23:31:38,45.129.56.200,10.0.2.10,51247,3389,TCP,4834,1023,ALLOW
2024-11-20T23:32:29,45.129.56.200,10.0.2.10,51250,3389,TCP,5216,1145,ALLOW
2024-11-20T23:33:17,45.129.56.200,10.0.2.10,51252,3389,TCP,4789,1067,ALLOW
2024-11-20T23:34:11,45.129.56.200,10.0.2.10,51254,3389,TCP,5102,1201,ALLOW
2024-11-20T23:35:02,45.129.56.200,10.0.2.10,51257,3389,TCP,4956,1034,ALLOW
2024-11-20T23:35:54,45.129.56.200,10.0.2.10,51259,3389,TCP,5347,1089,ALLOW
2024-11-20T23:36:49,45.129.56.200,10.0.2.10,51262,3389,TCP,4812,1023,ALLOW
2024-11-20T23:37:41,45.129.56.200,10.0.2.10,51265,3389,TCP,5198,1167,ALLOW
2024-11-20T23:38:35,45.129.56.200,10.0.2.10,51267,3389,TCP,4867,1045,ALLOW
2024-11-20T23:39:27,45.129.56.200,10.0.2.10,51270,3389,TCP,5023,1112,ALLOW
2024-11-20T23:40:19,45.129.56.200,10.0.2.10,51273,3389,TCP,4945,1089,ALLOW
2024-11-20T23:41:13,45.129.56.200,10.0.2.10,51275,3389,TCP,5134,1023,ALLOW
2024-11-20T23:42:02,45.129.56.200,10.0.2.10,51278,3389,TCP,4798,1156,ALLOW
2024-11-20T23:42:57,45.129.56.200,10.0.2.10,51280,3389,TCP,5267,1034,ALLOW
2024-11-20T23:43:48,45.129.56.200,10.0.2.10,51283,3389,TCP,4912,1098,ALLOW
2024-11-20T23:44:41,45.129.56.200,10.0.2.10,51285,3389,TCP,5089,1145,ALLOW
2024-11-20T23:45:35,45.129.56.200,10.0.2.10,51288,3389,TCP,4834,1023,ALLOW
2024-11-20T23:46:31,45.129.56.200,10.0.2.10,51290,3389,TCP,5312,1189,ALLOW
2024-11-20T23:47:25,45.129.56.200,10.0.2.10,51293,3389,TCP,4867,1056,ALLOW
2024-11-20T23:48:19,45.129.56.200,10.0.2.10,51295,3389,TCP,5134,1023,ALLOW
2024-11-20T23:51:02,45.129.56.200,10.0.2.10,51298,3389,TCP,45891,22034,ALLOW
2024-11-20T23:52:19,10.0.2.10,91.108.4.190,52301,443,TCP,1247,892,ALLOW
2024-11-20T23:55:47,10.0.2.10,91.108.4.190,52344,443,TCP,983,612,ALLOW
2024-11-21T00:02:33,10.0.2.10,91.108.4.190,52387,443,TCP,1156,743,ALLOW
2024-11-21T00:10:09,10.0.2.10,10.0.2.20,54100,135,TCP,3421,2187,ALLOW
2024-11-21T00:10:12,10.0.2.10,10.0.2.20,54102,135,TCP,2987,1834,ALLOW
2024-11-21T00:10:20,10.0.2.10,10.0.2.20,54105,445,TCP,8934,4521,ALLOW
2024-11-21T00:12:05,10.0.2.20,91.108.4.190,53401,443,TCP,1089,678,ALLOW
2024-11-21T00:15:30,10.0.2.20,91.108.4.190,53445,443,TCP,1023,589,ALLOW
