timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_out,bytes_in,action
2025-01-14T09:08:23,185.199.110.55,10.0.1.15,39201,80,TCP,2341,0,DENY
2025-01-14T09:09:15,185.199.110.55,10.0.1.15,39205,445,TCP,1234,0,DENY
2025-01-14T09:11:44,185.199.110.55,10.0.1.15,39312,443,TCP,987,0,DENY
2025-01-14T09:13:05,10.0.1.15,185.199.110.55,49234,443,TCP,12847,8934,ALLOW
2025-01-14T09:17:12,10.0.1.15,185.199.110.55,49301,443,TCP,1024,512,ALLOW
2025-01-14T09:19:44,10.0.1.15,185.199.110.55,49356,443,TCP,987,623,ALLOW
2025-01-14T09:22:05,10.0.1.15,10.0.1.5,50100,445,TCP,4521,2187,ALLOW
2025-01-14T09:22:11,10.0.1.15,10.0.1.5,50103,135,TCP,2987,1834,ALLOW
2025-01-14T09:27:03,10.0.1.5,185.199.110.55,51200,443,TCP,15728640,8934,ALLOW
2025-01-14T09:27:45,10.0.1.5,185.199.110.55,51245,443,TCP,15728640,9012,ALLOW
2025-01-14T09:28:31,10.0.1.5,185.199.110.55,51289,443,TCP,15728640,8756,ALLOW
