timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_out,bytes_in,action
2025-01-22T14:22:15,91.234.55.12,172.16.0.10,38100,3389,TCP,1234,0,DENY
2025-01-22T14:23:08,91.234.55.12,172.16.0.10,38104,22,TCP,987,0,DENY
2025-01-22T14:25:44,91.234.55.12,172.16.0.10,38201,80,TCP,2341,1203,ALLOW
2025-01-22T14:26:19,91.234.55.12,172.16.0.10,38207,80,TCP,4521,1034,ALLOW
2025-01-22T14:28:03,91.234.55.12,172.16.0.10,38312,80,TCP,8912,2341,ALLOW
2025-01-22T14:31:55,91.234.55.12,172.16.0.10,38445,443,TCP,18934,3412,ALLOW
2025-01-22T14:35:50,172.16.0.10,91.234.55.12,49201,80,TCP,234,48923,ALLOW
2025-01-22T14:36:05,172.16.0.10,172.16.0.20,49312,1433,TCP,3421,2187,ALLOW
2025-01-22T14:36:08,172.16.0.10,172.16.0.20,49315,1433,TCP,2987,1834,ALLOW
2025-01-22T14:55:12,172.16.0.20,91.234.55.12,51200,443,TCP,20971520,9012,ALLOW
2025-01-22T14:57:28,172.16.0.20,91.234.55.12,51241,443,TCP,20971520,8934,ALLOW
2025-01-22T14:59:45,172.16.0.20,91.234.55.12,51289,443,TCP,20971520,8756,ALLOW
