timestamp,src_ip,src_port,dst_ip,dst_port,protocol,action,bytes_out
2024-03-15T07:43:02Z,192.168.10.101,49876,185.220.101.47,443,TCP,ALLOW,4521
2024-03-15T07:43:45Z,192.168.10.101,50012,185.220.101.47,443,TCP,ALLOW,18234
2024-03-15T07:47:30Z,185.220.101.47,44512,192.168.10.101,445,TCP,ALLOW,1024
2024-03-15T07:47:35Z,185.220.101.47,44513,192.168.10.101,445,TCP,ALLOW,512
2024-03-15T07:47:40Z,185.220.101.47,44514,192.168.10.101,449,TCP,ALLOW,256
2024-03-15T08:05:00Z,192.168.10.101,50100,192.168.10.10,389,TCP,ALLOW,2048
2024-03-15T08:05:15Z,192.168.10.101,50101,192.168.10.10,389,TCP,ALLOW,4096
2024-03-15T08:05:30Z,192.168.10.101,50102,192.168.10.10,389,TCP,ALLOW,8192
2024-03-15T08:05:45Z,192.168.10.101,50103,192.168.10.10,389,TCP,ALLOW,8192
2024-03-15T08:06:00Z,192.168.10.101,50104,192.168.10.10,389,TCP,ALLOW,8192
2024-03-15T08:06:15Z,192.168.10.101,50105,192.168.10.10,389,TCP,ALLOW,8192
2024-03-15T08:06:30Z,192.168.10.101,50106,192.168.10.10,389,TCP,ALLOW,8192
2024-03-15T08:06:45Z,192.168.10.101,50107,192.168.10.10,389,TCP,ALLOW,8192
2024-03-15T08:07:00Z,192.168.10.101,50108,192.168.10.10,389,TCP,ALLOW,8192
2024-03-15T08:07:15Z,192.168.10.101,50109,192.168.10.10,389,TCP,ALLOW,8192
2024-03-15T08:07:30Z,192.168.10.101,50110,192.168.10.10,389,TCP,ALLOW,8192
2024-03-15T08:07:45Z,192.168.10.101,50234,192.168.10.10,389,TCP,ALLOW,16384
2024-03-15T08:07:46Z,192.168.10.101,50235,192.168.10.10,389,TCP,ALLOW,16384
2024-03-15T08:07:46Z,192.168.10.101,50236,192.168.10.10,389,TCP,ALLOW,16384
2024-03-15T08:07:46Z,192.168.10.101,50237,192.168.10.10,389,TCP,ALLOW,16384
2024-03-15T08:07:46Z,192.168.10.101,50238,192.168.10.10,389,TCP,ALLOW,16384
2024-03-15T08:07:46Z,192.168.10.101,50239,192.168.10.10,389,TCP,ALLOW,16384
2024-03-15T08:07:47Z,192.168.10.101,50240,192.168.10.10,389,TCP,ALLOW,16384
2024-03-15T08:07:47Z,192.168.10.101,50241,192.168.10.10,389,TCP,ALLOW,16384
2024-03-15T08:07:47Z,192.168.10.101,50242,192.168.10.10,389,TCP,ALLOW,16384
2024-03-15T08:07:47Z,192.168.10.101,50243,192.168.10.10,389,TCP,ALLOW,16384
2024-03-15T08:08:00Z,192.168.10.101,50300,192.168.10.10,636,TCP,ALLOW,32768
2024-03-15T08:08:01Z,192.168.10.101,50301,192.168.10.10,636,TCP,ALLOW,32768
2024-03-15T08:08:02Z,192.168.10.101,50302,192.168.10.10,636,TCP,ALLOW,32768
2024-03-15T08:08:03Z,192.168.10.101,50303,192.168.10.10,636,TCP,ALLOW,32768
2024-03-15T08:08:45Z,192.168.10.101,50400,185.220.101.47,443,TCP,ALLOW,1247892
2024-03-15T08:23:00Z,185.220.101.47,44601,192.168.10.10,88,TCP,ALLOW,4096
2024-03-15T08:23:10Z,185.220.101.47,44605,192.168.10.10,88,TCP,ALLOW,2048
2024-03-15T08:23:30Z,185.220.101.47,44610,192.168.10.101,445,TCP,ALLOW,1024
2024-03-15T08:36:45Z,192.168.10.101,50800,192.168.10.10,445,TCP,ALLOW,2048
2024-03-15T08:36:50Z,192.168.10.101,50801,192.168.10.10,88,TCP,ALLOW,4096
2024-03-15T09:00:00Z,192.168.10.101,50900,192.168.10.102,445,TCP,ALLOW,65536
2024-03-15T09:00:05Z,192.168.10.101,50901,192.168.10.102,445,TCP,ALLOW,8192
2024-03-15T09:00:08Z,192.168.10.101,50902,192.168.10.102,445,TCP,ALLOW,4096
2024-03-15T09:01:00Z,192.168.10.101,50950,192.168.10.102,3389,TCP,ALLOW,131072
2024-03-15T09:01:01Z,192.168.10.101,50951,192.168.10.102,3389,TCP,ALLOW,131072
2024-03-15T09:01:10Z,192.168.10.102,51000,192.168.10.50,135,TCP,ALLOW,1024
2024-03-15T09:01:15Z,192.168.10.102,51001,192.168.10.50,445,TCP,ALLOW,32768
2024-03-15T09:02:30Z,192.168.10.102,51100,192.168.10.10,445,TCP,ALLOW,65536
2024-03-15T09:02:35Z,192.168.10.102,51101,192.168.10.10,88,TCP,ALLOW,4096
2024-03-15T09:04:00Z,192.168.10.10,52000,192.168.10.51,445,TCP,ALLOW,65536
2024-03-15T09:04:05Z,192.168.10.10,52001,192.168.10.51,445,TCP,ALLOW,32768
2024-03-15T09:17:00Z,192.168.10.10,53000,185.220.101.47,443,TCP,ALLOW,89456231
2024-03-15T09:17:30Z,192.168.10.10,53001,185.220.101.47,443,TCP,ALLOW,45678123
2024-03-15T09:18:00Z,192.168.10.50,53100,185.220.101.47,443,TCP,ALLOW,125891024
2024-03-15T09:18:15Z,192.168.10.51,53200,185.220.101.47,443,TCP,ALLOW,67234100
2024-03-15T09:18:45Z,192.168.10.10,53300,185.220.101.47,22,TCP,ALLOW,1024
2024-03-15T09:19:00Z,185.220.101.47,44900,192.168.10.10,443,TCP,ALLOW,512
2024-03-15T09:19:05Z,185.220.101.47,44901,192.168.10.11,443,TCP,ALLOW,512
